block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,min_dup_leaves,median_dup_leaves,max_dup_leaves,leaves_have_block,leaves_have_duplication
402,0,2.2629393162622926,3,15,1,1.5,7,33,11
420,1,4.764415927591226,3,16,1,3.5,6,53,6
391,2,12.117427086460456,2,21,1,1.0,4,30,6
392,2,15.405512023402268,2,23,1,1.0,4,33,6
334,3,157.12914484444116,3,66,1,1.0,1,187,5
333,3,156.65149307499075,4,67,1,1.0,1,187,4
414,4,0.7020777970072836,3,10,1,1.0,1,26,4
618,5,2.6425250977591888,3,16,1,3.0,5,24,3
386,6,37.86043638604493,2,28,3,3.0,3,85,3
403,0,2.5833403643323565,2,10,1,1.5,2,24,3
223,7,0.40843446608730527,1,3,1,1.0,1,414,3
224,7,0.40843446608730527,1,3,1,1.0,1,414,3
225,7,0.40843446608730527,1,3,1,1.0,1,414,3
249,7,0.10243897964366001,1,3,1,1.0,1,413,3
254,7,0.5245812534076493,2,5,1,1.0,1,411,3
448,8,27.394475600620456,3,27,1,1.0,1,28,3
385,6,0.37153688934304324,1,4,2,2.0,2,36,2
465,9,1.1384716757300106,1,5,2,2.0,2,8,2
63,7,0.15631235423532186,1,2,1,1.0,1,414,2
77,7,0.15815878802160727,1,2,1,1.0,1,414,2
78,7,0.15815878802160727,1,2,1,1.0,1,414,2
79,7,0.15815878802160727,1,2,1,1.0,1,414,2
81,7,0.15815878802160727,1,2,1,1.0,1,414,2
82,7,0.15815878802160727,1,2,1,1.0,1,414,2
83,7,0.15815878802160727,1,2,1,1.0,1,413,2
216,7,1.8168573550523786,2,9,1,1.0,1,406,2
217,7,0.3120353430837733,2,5,1,1.0,1,409,2
218,7,0.24501278370118795,2,5,1,1.0,1,411,2
219,7,0.04067855956348938,1,2,1,1.0,1,414,2
220,7,0.04067855956348938,1,2,1,1.0,1,414,2
221,7,0.04067855956348938,1,2,1,1.0,1,414,2
222,7,0.04067855956348938,1,2,1,1.0,1,414,2
226,7,0.04067855956348938,1,2,1,1.0,1,414,2
227,7,0.04067855956348938,1,2,1,1.0,1,414,2
228,7,0.04067855956348938,1,2,1,1.0,1,414,2
229,7,0.04067855956348938,1,2,1,1.0,1,414,2
230,7,0.04067855956348938,1,2,1,1.0,1,414,2
237,7,0.23354677607895785,2,4,1,1.0,1,412,2
238,7,0.03481732223793431,1,2,1,1.0,1,413,2
239,7,0.03481732223793431,1,2,1,1.0,1,413,2
240,7,0.03481732223793431,1,2,1,1.0,1,413,2
241,7,0.040725376333113905,3,6,1,1.0,1,404,2
242,7,0.03481732223793431,1,2,1,1.0,1,414,2
243,7,0.03481732223793431,1,2,1,1.0,1,414,2
246,7,0.03481732223793431,1,2,1,1.0,1,414,2
247,7,0.03481732223793431,1,2,1,1.0,1,414,2
248,7,0.03481732223793431,1,2,1,1.0,1,413,2
250,7,0.03481732223793431,1,2,1,1.0,1,413,2
255,7,0.09303758614619084,1,2,1,1.0,1,413,2
374,10,0.20237239162637724,3,6,1,1.0,1,17,2
439,4,3.21875748027338,3,13,1,1.0,1,22,2
450,11,9.912191423541465,3,21,1,1.0,1,41,2
657,12,4.256011493114271,2,13,1,1.0,1,21,2
1,7,0,0,0,1,1.0,1,414,1
2,7,0,0,0,1,1.0,1,414,1
3,7,0,0,0,1,1.0,1,413,1
4,7,0,0,0,1,1.0,1,414,1
5,7,0,0,0,1,1.0,1,414,1
32,13,2.3628402232975394,2,13,1,1.0,1,364,1
59,7,0,0,0,1,1.0,1,414,1
60,7,0,0,0,1,1.0,1,414,1
61,7,0,0,0,1,1.0,1,414,1
62,7,0,0,0,1,1.0,1,414,1
64,7,0,0,0,1,1.0,1,414,1
65,7,0,0,0,1,1.0,1,414,1
66,7,0,0,0,1,1.0,1,414,1
67,7,0,0,0,1,1.0,1,414,1
68,7,0,0,0,1,1.0,1,414,1
69,7,0,0,0,1,1.0,1,414,1
70,7,0,0,0,1,1.0,1,414,1
71,7,0,0,0,1,1.0,1,414,1
72,7,0,0,0,1,1.0,1,414,1
73,7,0,0,0,1,1.0,1,414,1
74,7,0,0,0,1,1.0,1,414,1
75,7,0,0,0,1,1.0,1,414,1
76,7,0,0,0,1,1.0,1,414,1
80,14,1.556149875486498,2,9,1,1.0,1,102,1
84,15,12.136119168362539,2,21,1,1.0,1,360,1
112,7,0,0,0,1,1.0,1,414,1
113,7,0,0,0,1,1.0,1,414,1
117,7,0,0,0,1,1.0,1,414,1
118,7,0,0,0,1,1.0,1,414,1
119,7,0,0,0,1,1.0,1,413,1
135,16,3.929408408470221,2,10,1,1.0,1,20,1
149,7,0,0,0,1,1.0,1,414,1
150,7,0.00324164015860213,1,2,1,1.0,1,402,1
156,17,5.281925408190316,2,12,1,1.0,1,18,1
165,7,2.064697046694604,2,10,1,1.0,1,389,1
202,7,0,0,0,1,1.0,1,414,1
203,7,0,0,0,1,1.0,1,414,1
231,7,0,0,0,1,1.0,1,413,1
232,7,0,0,0,1,1.0,1,413,1
233,7,0,0,0,1,1.0,1,413,1
234,7,0,0,0,1,1.0,1,413,1
235,7,0,0,0,1,1.0,1,414,1
236,7,0,0,0,1,1.0,1,414,1
251,7,0,0,0,1,1.0,1,413,1
252,7,0,0,0,1,1.0,1,413,1
253,7,0,0,0,1,1.0,1,413,1
256,7,0.26453958230174,1,3,1,1.0,1,411,1
257,7,0.26453958230174,1,3,1,1.0,1,411,1
258,7,0.7387514238896169,1,4,1,1.0,1,410,1
259,7,0.7387514238896169,1,4,1,1.0,1,410,1
276,9,6.588240184402083,1,10,1,1.0,1,13,1
291,7,0,0,0,1,1.0,1,414,1
317,7,0,0,0,1,1.0,1,414,1
318,7,0,0,0,1,1.0,1,414,1
319,7,0,0,0,1,1.0,1,414,1
360,18,3.9870676376685585,2,13,1,1.0,1,210,1
404,19,8.522037676687681,2,18,1,1.0,1,46,1
405,19,3.090200128201929,1,10,1,1.0,1,28,1
406,19,3.090200128201929,1,10,1,1.0,1,28,1
415,4,2.375409437290879,2,10,1,1.0,1,31,1
449,10,34.95570563489858,1,25,1,1.0,1,37,1
499,9,0.16973634542171573,1,2,1,1.0,1,3,1
504,8,5.024575093770932,1,9,1,1.0,1,12,1
515,1,7.465763906990261,2,14,1,1.0,1,25,1
582,4,2.8612529633690906,1,7,1,1.0,1,21,1
607,20,26.32290385457702,1,26,1,1.0,1,53,1
608,20,26.32290385457702,1,26,1,1.0,1,53,1
614,17,7.309889264445968,1,12,1,1.0,1,22,1
625,11,5.295958667047213,2,14,1,1.0,1,35,1
626,21,0,0,0,1,1.0,1,3,1
636,21,0,0,0,1,1.0,1,1,1
637,21,0,0,0,1,1.0,1,1,1
727,22,0.37962116914801813,1,5,1,1.0,1,12,1
728,22,0.37962116914801813,1,5,1,1.0,1,12,1
775,23,0.08583227555060148,1,2,1,1.0,1,3,1
823,24,0,0,0,1,1.0,1,1,1
827,2,0,0,0,1,1.0,1,2,1
870,25,0,0,0,1,1.0,1,3,1
875,16,0.16257988861119357,1,2,1,1.0,1,3,1
876,16,0.16257988861119357,1,2,1,1.0,1,3,1
877,16,0.16257988861119357,1,2,1,1.0,1,3,1
925,5,0,0,0,1,1.0,1,2,1
931,12,0.4397509666093196,1,3,1,1.0,1,5,1
938,11,0,0,0,1,1.0,1,2,1
968,26,0,0,0,1,1.0,1,1,1
997,27,0,0,0,1,1.0,1,1,1
999,28,0,0,0,1,1.0,1,2,1
1000,2,0,0,0,1,1.0,1,1,1
1001,2,0,0,0,1,1.0,1,1,1
1002,2,0,0,0,1,1.0,1,1,1
1004,22,0,0,0,1,1.0,1,1,1
